向前走,好的,3,0
向前走一步,好的,3,0
向后走,好的,4,0
向后走一步,好的,4,0
向后退,好的,4,0
向后退一步,好的,4,0
向左转,好的,5,0
向左旋转,好的,5,0
向右转,好的,6,0
向右旋转,好的,6,0
你好,你好。我是机器人小德。,0,3
你叫什么名字,我叫小德,0,3
你多大了,我已经三岁啦,0,3
你几岁了,我已经三岁啦,0,3
你来自哪里,我来自重德智能,0,3
介绍一下你自己,我是机器人小德。集科研、教育、服务于一身。,0,3
你自我介绍一下,我是机器人小德。集科研、教育、服务于一身。,0,3
介绍你自己,我是机器人小德。集科研、教育、服务于一身。,0,3
再见,期待与你的下次相遇,0,3
你会什么,我可以和你一起学习。一起听歌。一起散步。,0,3
很高兴见到你,我和你的每一次遇见都是我的小确幸。,0,3
介绍重德智能,北京中科重德智能科技有限公司是源自中国科学院的创业公司。公司致力于研发智能机器人科研教学平台。提供稳定可靠、安全高效的机器人软硬件一体化解决方案,0,3
关闭,好的。小德先退下啦。,1,0
你是谁,我是机器人小德。集科研、教育、服务于一身。,0,3
你会做什么,我可以和你一起学习。一起听歌。一起散步。,0,3
介绍一下重德智能,北京中科重德智能科技有限公司是源自中国科学院的创业公司。公司致力于研发智能机器人科研教学平台。提供稳定可靠、安全高效的机器人软硬件一体化解决方案,0,3
抬起左手,好的,7,0
抬起右手,好的,9,0
放下左手,好的,8,0
放下右手,好的,10,0
左手拿,好的,11,0
左手抓住,好的,11,0
右手拿,好的,13,0
右手抓住,好的,13,0
张开左手,好的,12,0
张开右手,好的,14,0
小德你回去吧,收到。我将返回起始点,2,0
带我找方总,好的。请跟我来,15,0
我想找方总,好的。请跟我来,15,0
去方总办公室,好的。请跟我来,15,0
找常总,好的。请跟我来,16,0
带我找常总,好的。请跟我来,16,0
我想找常总,好的。请跟我来,16,0
去常总办公室,好的。请跟我来,16,0
回到原点,收到，我将返回起始点,2,0
回到起点,收到，我将返回起始点,2,0
找方总,好的，请跟我来,15,0
你回去吧,收到。我将返回起始点,2,0
开启对话模式,好的，我们可以进行多次对话交互啦。,17,0
进入对话模式,好的，我们可以进行多次对话交互啦。,17,0
开启多轮交互模式,好的，我们可以进行多次对话交互啦。,17,0
开启多轮交互,好的，我们可以进行多次对话交互啦。,17,0
进入多轮交互模式,好的，我们可以进行多次对话交互啦。,17,0
跟我聊天,好啊，我们可以聊天啦。,17,0
陪我聊天,好啊，我们可以聊天啦。,17,0
能和我聊会天吗,好啊，我们可以聊天啦。,17,0
退出对话模式,好的。小德先退下啦。,1,0
退出多轮交互模式,好的。小德先退下啦。,1,0
退出多轮交互,好的。小德先退下啦。,1,0
关闭对话,好的。小德先退下啦。,1,0
关闭对话模式,好的。小德先退下啦。,1,0
关闭多轮交互模式,好的。小德先退下啦。,1,0
退出聊天,好的。小德先退下啦。,1,0
退出对话,好的。小德先退下啦。,1,0
开始对话,好的，我们可以进行多次对话交互啦。,17,0
